City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Half Moon Bay,US,2022-09-27 23:30:24,37.4636,-122.4286,78.89,71,0,19.57
165,Victoria,HK,2022-09-27 23:32:08,22.2855,114.1577,85.17,77,97,18.01
166,La Asuncion,VE,2022-09-27 23:34:16,11.0333,-63.8628,83.93,79,100,10.36
167,Bac Lieu,VN,2022-09-27 23:30:06,9.285,105.7244,78.42,83,100,14.76
168,Ahipara,NZ,2022-09-27 23:34:17,-35.1667,173.1667,63.79,68,100,12.37
169,Omsukchan,RU,2022-09-27 23:34:18,62.5333,155.8,33.76,73,93,3.51
170,Salinopolis,BR,2022-09-27 23:34:18,-0.6136,-47.3561,80.64,79,38,12.66
171,Shimoda,JP,2022-09-27 23:34:19,34.6667,138.95,73.11,63,10,12.28
172,Nanortalik,GL,2022-09-27 23:34:20,60.1432,-45.2371,43.2,98,98,4.65
173,Roebourne,AU,2022-09-27 23:34:20,-20.7833,117.1333,78.3,27,40,14.25
174,Yatou,CN,2022-09-27 23:34:21,37.15,122.3833,67.15,74,100,2.91
175,Arraial Do Cabo,BR,2022-09-27 23:34:21,-22.9661,-42.0278,70.12,95,96,10.94
176,Lata,PT,2022-09-27 23:34:22,40.1629,-8.3327,62.82,96,20,1.1
177,Laguna,US,2022-09-27 23:34:23,38.421,-121.4238,90.45,30,0,9.22
178,Yuci,CN,2022-09-27 23:34:23,37.6803,112.7319,51.55,82,43,0.0
179,Wewak,PG,2022-09-27 23:34:24,-3.5534,143.6268,82.04,76,100,4.63
180,Soderhamn,SE,2022-09-27 23:34:24,61.3037,17.0592,51.96,94,100,10.16
181,Yershichi,RU,2022-09-27 23:34:25,53.6725,32.7542,47.01,95,100,6.76
182,Broken Hill,AU,2022-09-27 23:35:25,-31.95,141.4333,54.95,68,30,20.22
183,Cherskiy,RU,2022-09-27 23:35:26,68.75,161.3,31.15,57,9,4.09
184,Manoel Urbano,BR,2022-09-27 23:35:26,-8.8389,-69.2597,83.64,48,75,3.8
185,La Union,PE,2022-09-27 23:35:27,-5.4,-80.75,66.81,68,28,19.15
186,Wakkanai,JP,2022-09-27 23:35:27,45.4094,141.6739,66.45,69,99,15.26
187,Usinsk,RU,2022-09-27 23:35:28,65.9939,57.5281,26.67,82,7,8.1
188,Lumsden,CA,2022-09-27 23:35:29,50.6501,-104.8678,70.75,26,95,15.55
189,Kaman,IN,2022-09-27 23:35:29,27.65,77.2667,78.8,69,0,2.13
190,Saint-Philippe,RE,2022-09-27 23:35:30,-21.3585,55.7679,67.59,71,42,9.35
191,Guerrero Negro,MX,2022-09-27 23:34:06,27.9769,-114.0611,81.95,59,7,10.94
192,Yerofey Pavlovich,RU,2022-09-27 23:35:30,53.9667,121.9667,33.37,76,6,2.86
193,Fairview,US,2022-09-27 23:35:31,40.8126,-73.999,66.47,55,0,10.36
194,Portland,US,2022-09-27 23:33:44,45.5234,-122.6762,84.33,49,40,8.01
195,Walvis Bay,NA,2022-09-27 23:35:32,-22.9575,14.5053,55.09,76,55,8.05
196,Oparino,RU,2022-09-27 23:35:33,59.8518,48.2783,29.62,85,81,6.08
197,Kintinku,TZ,2022-09-27 23:35:33,-5.8833,35.2333,69.37,59,24,4.94
198,Labuan,MY,2022-09-27 23:35:34,5.2767,115.2417,77.36,94,20,2.3
199,Katsuura,JP,2022-09-27 23:35:34,35.1333,140.3,73.42,63,55,18.54
200,Ilulissat,GL,2022-09-27 23:35:35,69.2167,-51.1,41.02,93,75,3.44
201,Tigil,RU,2022-09-27 23:35:35,57.8,158.6667,44.67,85,100,6.2
202,Baykit,RU,2022-09-27 23:35:36,61.67,96.37,30.67,83,100,4.43
203,Black River,JM,2022-09-27 23:35:37,18.0264,-77.8487,80.42,84,98,8.05
204,Cody,US,2022-09-27 23:35:37,44.5263,-109.0565,82.9,23,0,10.36
205,Tautira,PF,2022-09-27 23:35:38,-17.7333,-149.15,76.66,80,26,13.98
206,Ancud,CL,2022-09-27 23:35:38,-41.8697,-73.8203,46.17,83,0,4.88
207,Doka,SD,2022-09-27 23:35:39,13.5167,35.7667,73.51,81,68,5.82
208,Williston,US,2022-09-27 23:34:11,48.147,-103.618,72.81,39,42,7.0
209,Whitecourt,CA,2022-09-27 23:35:40,54.1502,-115.6855,79.84,29,20,3.44
210,Arlit,NE,2022-09-27 23:35:40,18.7369,7.3853,95.36,13,67,6.31
211,Deer Lake,CA,2022-09-27 23:35:41,49.1667,-57.4316,64.26,100,100,0.0
212,Olafsvik,IS,2022-09-27 23:35:41,64.8945,-23.7142,45.12,61,99,8.41
213,Saint-Pierre,RE,2022-09-27 23:35:42,-21.3393,55.4781,67.68,56,100,8.05
214,Brae,GB,2022-09-27 23:35:43,60.3964,-1.353,50.72,91,53,11.77
215,Nome,US,2022-09-27 23:31:18,64.5011,-165.4064,46.47,77,100,12.66
216,Pullman,US,2022-09-27 23:35:43,46.7313,-117.1796,90.18,18,20,3.44
217,Port Lincoln,AU,2022-09-27 23:35:44,-34.7333,135.8667,53.58,65,100,11.74
218,Carballo,ES,2022-09-27 23:35:45,43.213,-8.691,62.29,94,89,4.74
219,Pimentel,PE,2022-09-27 23:35:45,-6.8367,-79.9342,62.89,77,0,19.57
220,Salalah,OM,2022-09-27 23:35:46,17.0151,54.0924,80.69,83,75,3.44
221,Kefamenanu,ID,2022-09-27 23:35:46,-9.4467,124.4781,82.85,58,58,2.26
222,Ghanzi,BW,2022-09-27 23:35:47,-21.5667,21.7833,73.11,20,13,14.43
223,Svetlaya,RU,2022-09-27 23:35:47,46.5389,138.3297,61.43,55,0,7.29
224,Touros,BR,2022-09-27 23:35:48,-5.1989,-35.4608,76.57,71,4,18.07
225,Kalavad,IN,2022-09-27 23:36:49,22.2167,70.3833,76.69,82,21,6.11
226,Lanivtsi,UA,2022-09-27 23:36:49,49.8633,26.0908,49.59,91,52,5.53
227,Medicine Hat,CA,2022-09-27 23:34:17,50.0501,-110.6683,84.85,19,75,2.3
228,Bilibino,RU,2022-09-27 23:36:50,68.0546,166.4372,25.47,66,11,2.21
229,Nabire,ID,2022-09-27 23:36:50,-3.3667,135.4833,78.37,85,99,1.79
230,Matagami,CA,2022-09-27 23:36:51,49.7502,-77.6328,46.51,93,100,19.57
231,La Ronge,CA,2022-09-27 23:36:51,55.1001,-105.2842,71.82,32,40,10.36
232,Port Elizabeth,ZA,2022-09-27 23:36:52,-33.918,25.5701,65.32,99,100,19.57
233,Bilma,NE,2022-09-27 23:36:53,18.6853,12.9164,89.33,14,18,5.75
